category,name,description,showroom,warehouse,source_row
Construction Materials,Silicon Sealant Brown,,0.0,0.0,117
Construction Materials,Sleeving Tube Fiber Glass,,0.0,0.0,118
Construction Materials,Snap On Base/Cover,,0.0,0.0,119
Construction Materials,Solvent 400cc,,0.0,0.0,120
Construction Materials,SS Checkered Plate 3x4x8m,,0.0,0.0,121
Construction Materials,SS Square Tube,3/4 x 1.2mm,0.0,0.0,122
Construction Materials,Stainless Faucet,,0.0,0.0,123
Construction Materials,Tie Wire 2mm,Kilo) (Tie Wire 2mm (Kilo),0.0,0.0,124
Construction Materials,Tiles 40x40 Newstone Gray,,0.0,0.0,125
Construction Materials,Tiles 40x40 White Putikilap,,0.0,0.0,126
Construction Materials,Tubular 2x4x1.5mm,,0.0,0.0,127
Construction Materials,Tubular 3/4 1mm,,0.0,0.0,128
Construction Materials,Vulca Seal,Bostik) (Vulca Seal (Bostik),0.0,0.0,129
Construction Materials,"Wood Screw 2""",,0.0,0.0,130
Construction Materials,Zygma Surface Mounting Frame -,Zygma Surface Mounting Frame - Plastic,0.0,0.0,131
Convan,Bathroom Unit,,0.0,1.0,134
Convan,Brown Prefab House,,0.0,0.0,135
Convan,Busaog bolts&knot,10x70) (Busaog bolts&knot (10x70),0.0,0.0,136
Convan,Carrage knot,,0.0,0.0,137
Convan,Container Van,"Container Van, GSS",0.0,0.0,138
Convan,Container Van - Std White,,0.0,18.0,139
Convan,"EPS Sandwich Panel, 0.3mm",,0.0,0.0,140
Convan,Expandable Container Van White,,0.0,3.0,141
Convan,House with Waterproof Floor,,0.0,0.0,142
Convan,Metal Primer Red Oxide,,0.0,0.0,143
Convan,PreFab Window 1.2cmx1.2cm,,0.0,10.0,144
Convan,PreFab Window Alu 150mmx750mm,,0.0,2.0,145
Convan,Steel Door for Prefab,,0.0,0.0,146
Convan,Tubular 2x3 1.5MM GI,,0.0,0.0,147
Defective Units,"A-MX""8","A - MX 8"" (MX 8"" rechargeable speaker 100watts w/ FM/USB port/Bluetooth)",1.0,0.0,150
Defective Units,AL-1200B,"Box Type Cake Showcase, 1200mm",0.0,1.0,151
Defective Units,AL-1500B,"AL-1500B (Box type Cake Showcase, 1500mm)",0.0,4.0,152
Defective Units,AS- FR 1.2,"AS- FR1.2 (4 Door Freezer, Reach-In)",0.0,0.0,153
Defective Units,AS-10L,"Electric Fryer, 1 Tank 10L",0.0,2.0,154
Defective Units,AS-10L-2,"Electric Deep Fryer, 2Tank 10L",0.0,4.0,155
Defective Units,AS-20L,Electric Fryer with tap,0.0,1.0,156
Defective Units,AS-71A,"AS-71A (Gas Fryer 14L, Temp Control)",0.0,4.0,157
Defective Units,AS-CH1.2,4 Door Reach-in Chiller,0.0,0.0,158
Defective Units,AS-FR-0.6,AS-FR-0.6 (2 Door Stainless Steel Freezer),0.0,0.0,159
Defective Units,AS-J210,Bone Saw Machine,0.0,1.0,160
Defective Units,AS11L-2,AS11L-2 (11L +11L 2-Tank 2- Basket Electric Fryer),0.0,0.0,161
Defective Units,ASGB-249A,Gas Grill 2-Burner,1.0,1.0,162
Defective Units,ASGB-368,ASGB-368 (Gas Chicken Rotisserie 12-16 birds),0.0,4.0,163
Defective Units,ASGB-369A,ASGB-369A (Gas Grill 3-burner),0.0,1.0,164
Defective Units,ASGF-23G,Gas Fryer (1-Tank& 2 Basket),0.0,1.0,165
Defective Units,ASGH-997A,ASGH-997A (6 Gas Range Burner w/ Oven),0.0,1.0,166
Defective Units,AT-1200A,"Vertical Cake Showcase, 1200mm",0.0,5.0,167
Defective Units,AT-1500A,"Vertical Cake Showcase, 1500mm",0.0,4.0,168
Defective Units,BC-1200F,Beverage Freezer 2 Door,0.0,0.0,169
Defective Units,BC-600,Beverage Chiller 1 Door,0.0,0.0,170
Defective Units,BLD160,Immersion Stick Blender,1.0,0.0,171
Defective Units,H50,"H50 (Spiral Mixer, 20kg H50)",0.0,3.0,172
Defective Units,HAS 6-55,MP Security Camera,4.0,0.0,173
Defective Units,HGA-20Q,"Gas Deck Oven , 1 Deck 2 Trays",0.0,5.0,174
Defective Units,ID-150kg,ID - 150kg (ID-150kg),0.0,1.0,175
Defective Units,KS- B20,KS - ATZ-B20 (Flat Spring Scale 20kg),0.0,2.0,176
Defective Units,KS- Storage Box 110L,"KS - Storage Box, 110L (Storage Box, 110L)",0.0,5.0,177
Defective Units,KS - Sauce Dispenser,KS - Sauce Dispenser (Ketchup & Sauce Dispenser),1.0,0.0,178
Defective Units,Llanera,BS - Llanera R (Llanera for Loaf (Regular)),0.0,3.0,179
Defective Units,"Soup Kettle , 10L-6000","CE) (Soup Kettle, 10L - 6000 (CE) (Soup Kettle, 10L - 600",0.0,1.0,180
Defective Units,TD-22,TD Meat Mincer 22 TD-22 (TD Meat Mincer 22 TD-22),0.0,1.0,181
Defective Units,Water Dispenser,Water Dispenser (Mitshu Tech),1.0,0.0,182
Defective Units,Water Dispenser,Gold) (Water Dispenser (Gold),0.0,8.0,183
Defective Units,Water Dispenser,Mitshu Tech) (:Water Dispenser (Mitshu Tech),0.0,0.0,184
Defective Units,Water Dispenser Hot/Cold,,0.0,2.0,185
Defective Units,Water Dispenser,Silver ) (Water Dispenser( Silver ),0.0,2.0,186
Defective Units,WG-32C,WG-32C (Electric Proofer - 32 Trays),0.0,1.0,187
Defective Units,WGBP-20,"Spiral Mixer, 8kg, Computer Pan",0.0,2.0,188
Uncategorised,Dexin Calculator,,0.0,0.0,190
Electrical Supplies,#12 THHN Wire,,0.0,0.0,192
Electrical Supplies,10lbs CO2 Fire Extinguisher,Re (10lbs CO2 Fire Extinguisher (Refill),0.0,0.0,193
Electrical Supplies,10lbs Dry Chem. ABC FireEx,10lbs Dry Chem. Model ABC FireEx (FireEx Refill),4.0,0.0,194
Electrical Supplies,10lbs Dry Chem. Model AEEE,10lbs Dry Chem. Model AEEE Fire Extinguisher (FireEx,0.0,0.0,195
Electrical Supplies,10lbs Dry Chem. Model B&C,10lbs Dry Chem. Model B&C Fire Extinguisher (FireEx Re,0.0,0.0,196
Electrical Supplies,12V DC Male Plug,,0.0,0.0,197
Electrical Supplies,15 Amp Circuit Breaker,Plug in) (15 Amp Circuit Breaker(Plug in),0.0,0.0,198
Electrical Supplies,20lbs A&B AFFF Fire Ex,20lbs A&B AFFF Fire Extinguisher (Refill),0.0,0.0,199
Electrical Supplies,20lbs Dry Chem.,MAP) (20lbs Dry Chem. (MAP) Fire Extinguisher (Refill),0.0,0.0,200
Electrical Supplies,30 Amp Breaker,,0.0,0.0,201
Electrical Supplies,5KVA Automatic Voltage Regulat,5KVA Automatic Voltage Regulator,0.0,0.0,202
Electrical Supplies,Amplifier Outlet,Amplifier - Kinter Brand,0.0,0.0,203
